year,n,nu,loc,scale,ks,shoulder,quality
2017,12681,4.547254893926839,0.026068091651846995,0.9272104629969649,0.04149179902289857,0.002777129415359035,GOOD
2018,46701,5.081744312803942,0.00506989169983884,0.953925416064493,0.03345122910385351,0.003618598180628152,GOOD
2019,50233,3.962068616905227,0.01849236589679206,0.8713762977936279,0.04007331332781522,0.0035403055449637344,GOOD
2020,49888,4.942847690370099,0.011600133176133088,0.9121048474306486,0.020271278621471323,0.004983252788019588,GOOD
2021,52106,4.548404001913254,0.017829785097370838,0.8902689232886714,0.020320422882927458,0.00646441827732519,GOOD
2022,53932,4.6902618044581015,0.0013022997354612017,0.8730869062135804,0.0167514432048943,0.0037302147819413545,GOOD
2023,53548,4.290317083668361,0.008927306860691986,0.8633385520899461,0.026565071936191342,0.004090851203481738,GOOD
2024,53294,4.347016543360997,0.007444735190229627,0.8757287604838271,0.02269067037825412,0.004241556257129131,GOOD
2025,52750,4.4083862682213075,0.013512398226756376,0.8617357668695542,0.02331909700842194,0.006031910936910523,GOOD
2026,15173,4.190262562314162,0.006592483235934312,0.833356565197902,0.015907525535908795,0.004008204429737816,GOOD
