contract,gate,tier,n_events,events_per_month_mean,events_per_month_std,frac_sessions_with_event,total_eval_sessions
ES,A,primary,1535,23.984375,5.516187398257823,0.8589815332960269,1787
ES,A,secondary,1665,26.015625,6.206735173014595,0.9317291550083939,1787
ES,B,primary,1636,25.5625,5.930483531773351,0.9155008393956351,1787
ES,B,secondary,1683,26.296875,6.288512296621667,0.9418019026301063,1787
ES,C,primary,1477,23.078125,5.222979407281718,0.8265249020705092,1787
ES,C,secondary,1631,25.484375,6.065756570929778,0.9127028539451595,1787
NQ,A,primary,1463,22.859375,3.931424829559404,0.8755236385397965,1671
NQ,A,secondary,1556,24.3125,4.777177887773133,0.931178934769599,1671
NQ,B,primary,1535,23.984375,4.610175727463677,0.9186116098144823,1671
NQ,B,secondary,1569,24.515625,4.966529839917772,0.9389587073608617,1671
NQ,C,primary,1371,21.421875,3.6549800229623646,0.8204667863554758,1671
NQ,C,secondary,1528,23.875,4.402380308532235,0.9144225014961102,1671
RTY,A,primary,1410,22.03125,2.8727993648140813,0.9337748344370861,1510
RTY,A,secondary,1477,23.078125,3.339540351890476,0.9781456953642385,1510
RTY,B,primary,1468,22.9375,3.2114626050278186,0.9721854304635762,1510
RTY,B,secondary,1486,23.21875,3.5026917087219087,0.9841059602649007,1510
RTY,C,primary,1327,20.734375,2.6621520564063523,0.8788079470198675,1510
RTY,C,secondary,1456,22.75,2.965409043226717,0.9642384105960264,1510
