pre_end,post_start,excluded_n,excluded_pct,nu_pre,scale_pre,n_pre,ks_pre,shoulder_pre,nu_post,scale_post,n_post,ks_post,shoulder_post,ks_combined,pre_passes,post_passes
2017-01-01,2020-06-01,199416,21.720722673460475,5.349467596845749,0.8633283297511956,363144,0.08128082067980913,0.001917448546932543,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.0579472047848642,False,True
2017-06-01,2020-06-01,177675,19.352656762782775,5.340728634222944,0.8640570481947194,384885,0.08224667805537189,0.0019574302010666456,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.05913442947904351,False,True
2018-01-01,2020-06-01,143822,15.665331650130543,5.321054416487475,0.8641923936653712,418738,0.08405742328879257,0.0021976701886328165,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.061124237657604906,False,True
2018-06-01,2020-06-01,119470,13.012871273109093,5.331151059152068,0.8673980026785402,443090,0.0823883947240649,0.0022128830537365696,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.06089752069141631,False,True
2019-01-01,2020-06-01,83787,9.126219514187591,5.333893646712314,0.8697803085527395,478773,0.08042574062745977,0.0021261239009359167,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.06069039363498733,False,True
2019-06-01,2020-06-01,61215,6.667639700204011,5.310042992006983,0.8691095367908787,501345,0.07950701846775082,0.0022893330671543977,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.06067273587721935,False,True
2019-10-01,2020-06-01,39025,4.250667962108332,5.218692897675258,0.8667028642760856,523535,0.078725406767572,0.002307269599655992,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.06068266874827883,False,True
2020-01-01,2020-06-01,24288,2.645489390485257,5.1524535490346395,0.8641551364576984,538272,0.07845811451144341,0.0023981378867325986,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.060819186406979316,False,True
2020-03-01,2020-06-01,15210,1.656698518992126,5.152678058603077,0.8648518971904503,547350,0.0779382392317266,0.0024227642963630114,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.06068137472967006,False,True
2020-06-01,2020-06-01,0,0.0,5.1655435095378746,0.8661725729469486,562560,0.07658406670305984,0.0024092864798063163,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.06013750011522498,False,True
