nu,loc,scale,n,ks,pit_shape,pit_asym,shoulder_left,shoulder_right,shoulder_max,year,quality
5.505365152877971,0.009878611576084679,0.845124968390004,31706,0.08847909353095651,Flat,0.041317100864189715,0.003034729847752625,0.0029454125765199235,0.003034729847752625,2010,FAIL
5.85443161236101,0.0032744097126268883,0.8796387518089399,54807,0.0720618950259751,Flat,0.03302497856113262,0.0023651990942647333,0.002923182847467398,0.002923182847467398,2011,FAIL
5.618064529114768,0.007234099404127015,0.8466372640916029,53780,0.09059839636994671,Flat,-0.0020453700260320007,0.0012081889404401136,0.0008277866128928446,0.0012081889404401136,2012,FAIL
5.35689621143791,0.016947446601932807,0.8483816214334227,53261,0.09859605215152328,Hump,0.03698766452000524,0.0017414727507716887,0.003094963616677715,0.003094963616677715,2013,FAIL
5.032565879286129,0.005936056720826607,0.8717134222975771,53857,0.08904622444291221,Hump,0.015596858347104336,0.0012752149971026194,0.0022439855111433538,0.0022439855111433538,2014,FAIL
5.091429789299498,0.001352231557282649,0.8760916183907077,58517,0.06506115713229932,Flat,0.027684262692892814,0.00148139331740893,0.0032122979132142016,0.0032122979132142016,2015,FAIL
5.276395383586287,0.004446080466504101,0.8688306248559151,57216,0.07329124140462784,Flat,0.004544183445190253,0.0023773465244106007,0.002366754733687193,0.0023773465244106007,2016,FAIL
5.147817306371075,0.018301962872621896,0.8698621614168409,55594,0.1023201453517556,Hump,0.021944814188581407,0.002102803091840362,0.004434068045024553,0.004434068045024553,2017,FAIL
5.472482667371269,0.006038323824993512,0.9101694002876253,60035,0.05512892748085657,Flat,0.028983093195635856,0.0023969151051467796,0.0027294031222576676,0.0027294031222576676,2018,FAIL
4.156130108997925,0.016504843872011392,0.8245116046763945,59499,0.06245277756372303,Flat,0.04874031496327669,0.0020291493885059853,0.004715641975959417,0.004715641975959417,2019,FAIL
5.497740205908549,-0.0022920399583080424,0.9116888880670099,24288,0.03500834487427684,Flat,0.029232542819499274,0.0025955579683029917,0.003377212685705566,0.003377212685705566,2020,GOOD
