month,n,ks
2020-01,4264,0.058677972075269924
2020-02,4814,0.05429634220975399
2020-03,6345,0.036542666710496
2020-04,4408,0.02337421585032451
2020-05,4457,0.030837940520883844
2020-06,6656,0.03299419510528867
2020-07,4324,0.040428244996770946
2020-08,4095,0.048303928774397376
2020-09,6469,0.03622328342740483
2020-10,4114,0.03042798416048481
2020-11,3971,0.03233116404906111
2020-12,6408,0.04444037436316417
2021-01,3749,0.035758914735651626
2021-02,3940,0.03891244603266081
2021-03,6821,0.030792218636972513
2021-04,4030,0.06395243797129363
2021-05,3929,0.042278761350160954
2021-06,6321,0.05500818915566075
2021-07,4266,0.0584129945796657
2021-08,4509,0.06411747871968382
2021-09,6425,0.06729723616528904
2021-10,4122,0.045882720676333366
2021-11,4526,0.04187032962787696
2021-12,6758,0.028846466700776674
2022-01,4266,0.024568721313442565
2022-02,4845,0.027881255150724704
2022-03,7126,0.019990819481058186
2022-04,3997,0.03766738731951069
2022-05,5554,0.02542431953073243
2022-06,6654,0.03191728273626415
2022-07,4080,0.034902542578893525
2022-08,4980,0.04045476902044498
2022-09,6442,0.028406638591246036
2022-10,4258,0.02554204154879236
2022-11,4795,0.03654666738209944
2022-12,6213,0.027362418934441912
2023-01,4072,0.03375602306735609
2023-02,4224,0.04345084423037571
2023-03,6866,0.029676614163908432
2023-04,3827,0.05162050883516345
2023-05,4841,0.04401127971515528
2023-06,6268,0.05314912966299323
2023-07,4022,0.05514183919261606
2023-08,5110,0.04624505344581775
2023-09,5722,0.0430447163666281
2023-10,4458,0.03164239975874139
2023-11,4560,0.06453360553038989
2023-12,5770,0.05396624258229177
2024-01,4270,0.04164783166916641
2024-02,4503,0.061768782079357265
2024-03,5827,0.05775075256822648
2024-04,4312,0.0389865585160899
2024-05,4582,0.04826054619063941
2024-06,6070,0.05147108927269456
2024-07,4444,0.04298592444649202
2024-08,4648,0.03414362455385217
2024-09,6436,0.03387873653689932
2024-10,4508,0.03474095620521361
2024-11,4274,0.041913355795148655
2024-12,6292,0.04227309092537768
2025-01,4327,0.04397785400690818
2025-02,4119,0.03730228980480499
2025-03,6569,0.026993984185260222
2025-04,4714,0.01575505116824355
2025-05,4440,0.031994487464956034
2025-06,6414,0.04602228982297357
2025-07,4415,0.045689354472393806
2025-08,4144,0.0400543330248016
2025-09,6139,0.046665531697003715
2025-10,4520,0.03374646067710624
2025-11,3920,0.028968005640394257
2025-12,6166,0.03970218705556189
2026-01,4072,0.03277370479623626
2026-02,4184,0.03376567996825153
2026-03,6941,0.02690513755986712
2026-04,1898,0.04991783337066885
