window_start,window_end,center,nu,loc,scale,n,ks
2017-07-10 00:00:00+00:00,2020-07-10 00:00:00+00:00,2019-01-09 00:00:00+00:00,4.556711944210418,0.012311670733782695,0.9132336537271513,134824,0.03401713310269028
2017-10-10 00:00:00+00:00,2020-10-10 00:00:00+00:00,2019-04-11 00:00:00+00:00,4.585421595576243,0.012165317559876246,0.9140179101384015,144150,0.03290276196011199
2018-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2019-07-12 00:00:00+00:00,4.579787824469248,0.012157879492306803,0.910092714535854,146758,0.031126980204678023
2018-04-10 00:00:00+00:00,2021-04-10 00:00:00+00:00,2019-10-10 00:00:00+00:00,4.5799761357224344,0.01386795799229136,0.9068535942973778,148156,0.03027779164548594
2018-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,2020-01-09 00:00:00+00:00,4.571482116463388,0.013316350748856533,0.9057593525320518,149931,0.02856391376770051
2018-10-10 00:00:00+00:00,2021-10-10 00:00:00+00:00,2020-04-10 00:00:00+00:00,4.521756947144143,0.01421833266311409,0.8981395285619445,151453,0.02691323937594725
2019-01-10 00:00:00+00:00,2022-01-10 00:00:00+00:00,2020-07-11 00:00:00+00:00,4.426063958839222,0.015735637126851075,0.8903521146214735,152086,0.02672947821458277
2019-04-10 00:00:00+00:00,2022-04-10 00:00:00+00:00,2020-10-09 00:00:00+00:00,4.467286243704348,0.01338593877060898,0.8860783400830777,153136,0.02439638225727564
2019-07-10 00:00:00+00:00,2022-07-10 00:00:00+00:00,2021-01-08 00:00:00+00:00,4.532787858112685,0.0106130977384011,0.886057434445545,154242,0.022453229239728756
2019-10-10 00:00:00+00:00,2022-10-10 00:00:00+00:00,2021-04-10 00:00:00+00:00,4.642221841886175,0.01179988345932203,0.8902829663434008,154903,0.02054896290411895
2020-01-10 00:00:00+00:00,2023-01-10 00:00:00+00:00,2021-07-11 00:00:00+00:00,4.714929440250653,0.00998014646003734,0.8913905339240215,155789,0.018264137588015983
2020-04-10 00:00:00+00:00,2023-04-10 00:00:00+00:00,2021-10-09 12:00:00+00:00,4.651886504336768,0.010254647483891884,0.8873260898103669,157426,0.017976146147910155
2020-07-10 00:00:00+00:00,2023-07-10 00:00:00+00:00,2022-01-08 12:00:00+00:00,4.5746525333981864,0.010971577823222622,0.8818297053555988,158238,0.01896548939504611
2020-10-10 00:00:00+00:00,2023-10-10 00:00:00+00:00,2022-04-10 12:00:00+00:00,4.538955520481087,0.009439783627792502,0.8779164198790782,158901,0.01985604387094747
2021-01-10 00:00:00+00:00,2024-01-10 00:00:00+00:00,2022-07-11 12:00:00+00:00,4.494731174252724,0.008378009999749195,0.8750900992748387,159826,0.020361782537744455
2021-04-10 00:00:00+00:00,2024-04-10 00:00:00+00:00,2022-10-10 00:00:00+00:00,4.410157025411404,0.006967878581438839,0.8684676391318628,160248,0.020893433559721897
2021-07-10 00:00:00+00:00,2024-07-10 00:00:00+00:00,2023-01-09 00:00:00+00:00,4.383897481246782,0.005817596475427465,0.8673234587125287,160881,0.02135536742451194
2021-10-10 00:00:00+00:00,2024-10-10 00:00:00+00:00,2023-04-11 00:00:00+00:00,4.428861793993473,0.006101161478686509,0.8702635438106858,161045,0.021302186592237482
2022-01-10 00:00:00+00:00,2025-01-10 00:00:00+00:00,2023-07-12 00:00:00+00:00,4.432928538828758,0.006105359415388656,0.8710533243974952,160881,0.021333259450539432
2022-04-10 00:00:00+00:00,2025-04-10 00:00:00+00:00,2023-10-10 00:00:00+00:00,4.365634253575978,0.006185422394475424,0.8701799731603469,160578,0.022336703801030477
2022-07-10 00:00:00+00:00,2025-07-10 00:00:00+00:00,2024-01-09 00:00:00+00:00,4.332274387666485,0.009751254499586016,0.86872656815978,160486,0.02307568798433962
2022-10-10 00:00:00+00:00,2025-10-10 00:00:00+00:00,2024-04-10 00:00:00+00:00,4.322501651342207,0.01051213115961493,0.8665536480789008,160138,0.023730913342907223
2023-01-10 00:00:00+00:00,2026-01-10 00:00:00+00:00,2024-07-11 00:00:00+00:00,4.3495832665858405,0.010169003174269036,0.8669295356106695,159789,0.024189440988069688
2023-04-10 00:00:00+00:00,2026-04-10 00:00:00+00:00,2024-10-09 00:00:00+00:00,4.329956750449479,0.009808003136038045,0.8634964354115788,160076,0.023645119709231555
